n_links,cond_id,vol_err_pct,ang_err,seed,gt_density_L1,gt_density_L2,gt_density_L3,gt_density_L4,gt_density_L5,gt_density_L6,est_density_L1,est_density_L2,est_density_L3,est_density_L4,est_density_L5,est_density_L6,err_pct_L1,err_pct_L2,err_pct_L3,err_pct_L4,err_pct_L5,err_pct_L6,mean_err_pct,mean_mass_err_pct,base_static_err_med,base_static_sd_med,base_dyn_err_med,base_dyn_sd_med,n_configs,n_measurements,final_uncertainty,converged,grasp_point,wall_time_sec
2,C0,1.0,1%rel(min0.5deg),0,5200.0,700.0,,,,,4862.4,953.6,,,,,6.493,36.235,,,,,21.364060882571785,17.68742070535572,0.013168515327274984,0.003297702128664367,0.3073902516878222,0.36639213891294264,3,12,0.3297702128664367,True,link0 proximal end (sensor at AFT200 puck),333.983083486557
2,C0,1.0,1%rel(min0.5deg),1,5200.0,700.0,,,,,4907.9,1175.5,,,,,5.618,67.935,,,,,36.77664902653171,27.566489749665003,0.047991422874049734,0.003195561570619433,0.6990232096736813,1.008393187492395,3,12,0.3195561570619433,True,link0 proximal end (sensor at AFT200 puck),422.09433221817017
2,C0,1.0,1%rel(min0.5deg),2,5200.0,700.0,,,,,4682.1,1122.7,,,,,9.959,60.387,,,,,35.173255265117035,29.03321075100343,0.03878357686053479,0.004269312515453538,0.15459706147380015,0.6174122384498177,3,12,0.42693125154535383,True,link0 proximal end (sensor at AFT200 puck),436.56840419769287
2,C0,1.0,1%rel(min0.5deg),3,5200.0,700.0,,,,,4886.1,1053.8,,,,,6.037,50.542,,,,,28.289227035452345,21.77183464029919,0.0106029879798716,0.005125357542776745,0.19968705859024566,0.5369569327074539,3,12,0.5125357542776745,True,link0 proximal end (sensor at AFT200 puck),444.51249527931213
2,C0,1.0,1%rel(min0.5deg),4,5200.0,700.0,,,,,4769.0,1000.7,,,,,8.288,42.963,,,,,25.62535777836955,19.72396669185943,0.028561763318106455,0.006205977218391171,0.19047952701093532,0.423773486552248,3,12,0.6205977218391171,True,link0 proximal end (sensor at AFT200 puck),195.10023474693298
2,C1,5.0,1%rel(min0.5deg),0,5200.0,700.0,,,,,4677.1,917.3,,,,,10.055,31.045,,,,,20.550191896569046,17.68742070535572,0.013168515327274984,0.003297702128664367,0.3073902516878222,0.36639213891294264,3,12,0.3297702128664367,True,link0 proximal end (sensor at AFT200 puck),332.89762783050537
2,C1,5.0,1%rel(min0.5deg),1,5200.0,700.0,,,,,5180.9,1032.5,,,,,0.368,47.500,,,,,23.933963966278895,21.818241984543686,0.048952193288142445,0.003611922922019118,0.5662860770960925,1.0716618361294452,3,12,0.3611922922019118,True,link0 proximal end (sensor at AFT200 puck),234.76404333114624
2,C1,5.0,1%rel(min0.5deg),2,5200.0,700.0,,,,,4893.1,1065.4,,,,,5.903,52.206,,,,,29.054446726762855,28.079187913842368,0.04066144490046939,0.004220030772404172,0.18840794814832817,0.6152973208921861,3,12,0.42200307724041725,True,link0 proximal end (sensor at AFT200 puck),450.0444622039795
2,C1,5.0,1%rel(min0.5deg),3,5200.0,700.0,,,,,5091.8,1098.2,,,,,2.080,56.880,,,,,29.48035238431349,21.77183464029919,0.0106029879798716,0.005125357542776745,0.19968705859024566,0.5369569327074539,3,12,0.5125357542776745,True,link0 proximal end (sensor at AFT200 puck),430.8333659172058
2,C1,5.0,1%rel(min0.5deg),4,5200.0,700.0,,,,,4590.7,960.1,,,,,11.718,37.158,,,,,24.437856418099965,19.55438458950011,0.02823618269113365,0.006461080927497238,0.13825972727038502,0.419934340811585,3,12,0.6461080927497238,True,link0 proximal end (sensor at AFT200 puck),284.3501081466675
2,C2,1.0,5%rel(min0.5deg),0,5200.0,700.0,,,,,4862.5,952.6,,,,,6.490,36.082,,,,,21.286235058103635,17.624827285367445,0.02105805904467315,0.0032522883538662934,0.367067751518165,0.35844122253153765,3,12,0.32522883538662933,True,link0 proximal end (sensor at AFT200 puck),378.2212178707123
2,C2,1.0,5%rel(min0.5deg),1,5200.0,700.0,,,,,5105.1,856.0,,,,,1.824,22.288,,,,,12.056044093281885,9.604873803990044,0.04602407449164253,0.003517289003476142,0.7030688286278953,1.0385739272676326,3,12,0.35172890034761417,True,link0 proximal end (sensor at AFT200 puck),317.9974503517151
2,C2,1.0,5%rel(min0.5deg),2,5200.0,700.0,,,,,4722.5,1079.8,,,,,9.182,54.258,,,,,31.719858500738248,26.29130546389944,0.04364808339665108,0.004103669412921835,0.13182184077912434,0.6141070498885296,3,12,0.4103669412921835,True,link0 proximal end (sensor at AFT200 puck),369.27238297462463
